Wall time,Step,Value
1779976299.675647,0,350.0397644042969
1779976742.7369592,200,55.030269622802734
1779976780.39782,400,40.991268157958984
1779976820.8487525,600,43.74613952636719
1779976858.7869906,800,45.01622772216797
1779976958.3750994,1000,40.26893615722656
1779976996.2376242,1200,42.793453216552734
1779977036.3572693,1400,44.63512420654297
1779977074.321083,1600,42.63404083251953
1779977118.3767242,1800,34.372169494628906
1779977156.5960956,2000,43.52272415161133
1779977196.5594413,2200,38.92890548706055
1779977236.064208,2400,38.74750900268555
1779977286.3892648,2600,35.10597610473633
1779977326.3323627,2800,44.672664642333984
1779977366.368321,3000,38.60186767578125
1779977404.3082178,3200,33.799530029296875
1779977445.9418244,3400,35.538047790527344
1779977486.3018794,3600,32.58696365356445
1779977524.2250903,3800,29.51820945739746
1779977564.5735319,4000,28.983135223388672
1779977606.453746,4200,31.237945556640625
1779977646.662135,4400,31.712055206298828
1779977684.808331,4600,38.432918548583984
1779977724.7641895,4800,33.98438262939453
1779977766.3964612,5000,32.904518127441406
1779977806.2816703,5200,24.75078773498535
1779977844.2646353,5400,34.08045196533203
1779977884.2484252,5600,40.09394073486328
1779977925.8940997,5800,31.16997718811035
1779977966.1375346,6000,35.83552169799805
1779978004.1167197,6200,34.676456451416016
1779978044.07705,6400,34.58743667602539
1779978085.9682999,6600,33.3836669921875
1779978123.743955,6800,28.46432876586914
1779978163.9428623,7000,30.32249641418457
1779978201.6567214,7200,32.019927978515625
1779978245.3345568,7400,34.945281982421875
1779978283.5311618,7600,24.042713165283203
1779978323.6659448,7800,27.435516357421875
1779978362.0661643,8000,33.446659088134766
1779978405.7167053,8200,30.596698760986328
1779978443.7037017,8400,29.72190284729004
1779978483.4426284,8600,28.447595596313477
1779978521.2195387,8800,32.61426544189453
1779978565.1288767,9000,34.1265754699707
1779978603.2354553,9200,24.122024536132812
1779978643.0762706,9400,37.35551834106445
1779978681.1376011,9600,34.83040237426758
1779978724.9906244,9800,23.415769577026367
1779978762.6589773,10000,33.48912048339844
1779978800.6851656,10200,27.228302001953125
1779978840.7474077,10400,31.239797592163086
1779978882.3813932,10600,26.762056350708008
1779978922.5632737,10800,34.56121063232422
1779978960.2114117,11000,29.255334854125977
1779979000.2372348,11200,28.922054290771484
1779979041.8955626,11400,32.613746643066406
1779979081.8460002,11600,29.40904998779297
1779979119.7825165,11800,28.756742477416992
1779979159.8715732,12000,31.990772247314453
1779979201.5215192,12200,29.48638343811035
1779979241.9496553,12400,30.917648315429688
1779979279.7778232,12600,35.02294921875
1779979319.9168808,12800,27.272319793701172
1779979361.1490068,13000,30.96137809753418
1779979401.124156,13200,24.340669631958008
