Wall time,Step,Value
1779976299.6782916,0,88.93312072753906
1779976742.7370884,200,46.61404037475586
1779976780.3979557,400,34.41603088378906
1779976820.8490744,600,32.145694732666016
1779976858.787217,800,36.34292984008789
1779976958.3754003,1000,32.061180114746094
1779976996.2377582,1200,31.6523380279541
1779977036.3574965,1400,36.35324478149414
1779977074.3214006,1600,37.093841552734375
1779977118.3769078,1800,29.971277236938477
1779977156.596375,2000,32.29204559326172
1779977196.5597537,2200,29.15264320373535
1779977236.0645258,2400,33.42605972290039
1779977286.3894117,2600,28.607881546020508
1779977326.332574,2800,35.8830680847168
1779977366.3686385,3000,33.88578796386719
1779977404.3086095,3200,27.356063842773438
1779977445.942285,3400,28.321603775024414
1779977486.3023627,3600,26.27587127685547
1779977524.2253606,3800,23.521211624145508
1779977564.5738096,4000,24.411020278930664
1779977606.4540582,4200,24.354583740234375
1779977646.6622584,4400,24.653331756591797
1779977684.8085756,4600,30.7821044921875
1779977724.7645051,4800,28.450878143310547
1779977766.3965962,5000,28.085617065429688
1779977806.2818282,5200,20.97795295715332
1779977844.264901,5400,27.982357025146484
1779977884.2487142,5600,32.85974884033203
1779977925.894385,5800,26.010238647460938
1779977966.1378155,6000,26.33626365661621
1779978004.116928,6200,29.704748153686523
1779978044.0772762,6400,30.129690170288086
1779978085.9687212,6600,26.810501098632812
1779978123.7445638,6800,22.621694564819336
1779978163.943181,7000,25.126781463623047
1779978201.6569345,7200,26.632976531982422
1779978245.3347623,7400,26.948823928833008
1779978283.5314658,7600,19.095396041870117
1779978323.6662529,7800,22.195039749145508
1779978362.0664322,8000,25.634164810180664
1779978405.716912,8200,25.64211082458496
1779978443.7038984,8400,25.19987678527832
1779978483.442808,8600,22.864225387573242
1779978521.2198384,8800,24.950227737426758
1779978565.1290078,9000,25.703948974609375
1779978603.235771,9200,20.08678436279297
1779978643.0767353,9400,28.784507751464844
1779978681.1377926,9600,27.312931060791016
1779978724.9908867,9800,20.874645233154297
1779978762.659363,10000,29.005489349365234
1779978800.6854382,10200,20.698810577392578
1779978840.7475631,10400,26.1004638671875
1779978882.381528,10600,20.571487426757812
1779978922.5634367,10800,28.770254135131836
1779978960.2116344,11000,23.94339370727539
1779979000.2373571,11200,24.162023544311523
1779979041.8958745,11400,24.512630462646484
1779979081.8464754,11600,24.05061912536621
1779979119.7827332,11800,22.805498123168945
1779979159.8718774,12000,25.986957550048828
1779979201.521931,12200,23.03013801574707
1779979241.949912,12400,23.951021194458008
1779979279.778016,12600,26.401369094848633
1779979319.9171636,12800,21.37338638305664
1779979361.1493065,13000,23.038976669311523
1779979401.1242864,13200,18.980573654174805
1779979438.9428916,13400,28.570819854736328
1779979476.8213618,13600,24.026491165161133
1779979521.0024633,13800,24.5848388671875
1779979558.4517307,14000,22.04509735107422
1779979598.599704,14200,21.779863357543945
1779979636.6048064,14400,22.561054229736328
1779979680.4125106,14600,24.411569595336914
1779979718.313454,14800,24.39315414428711
1779979758.2800999,15000,24.035390853881836
1779979796.024691,15200,23.705062866210938
1779979839.905728,15400,23.29802703857422
1779979877.6462655,15600,26.086252212524414
1779979917.6403074,15800,22.236053466796875
1779979955.5321622,16000,18.331432342529297
1779979999.287342,16200,23.511930465698242
1779980037.1846352,16400,24.127714157104492
1779980077.2174938,16600,22.41338539123535
1779980115.1319687,16800,20.419553756713867
1779980156.5814462,17000,21.6259708404541
1779980196.978348,17200,22.729406356811523
1779980235.1100245,17400,19.266664505004883
1779980275.241862,17600,21.236980438232422
1779980317.0540097,17800,23.0289306640625
1779980357.1978226,18000,20.944171905517578
1779980394.8250024,18200,27.243497848510742
1779980434.7220464,18400,24.690677642822266
1779980476.1074593,18600,22.00078010559082
1779980516.4206955,18800,19.595869064331055
1779980554.0726178,19000,24.465150833129883
1779980594.2912672,19200,23.779056549072266
1779980635.795842,19400,24.447525024414062
1779980675.8818128,19600,25.141761779785156
1779980713.5339854,19800,24.75351905822754
1779980753.698117,20000,22.057645797729492
1779980795.4355338,20200,23.12666130065918
1779980833.4100494,20400,22.85063934326172
1779980873.7591906,20600,20.905519485473633
1779980911.4914505,20800,25.09832763671875
1779980955.6827354,21000,23.369140625
1779980993.6973476,21200,19.100711822509766
1779981033.6971433,21400,22.543336868286133
1779981072.0315933,21600,23.978260040283203
1779981116.1382453,21800,20.75457763671875
1779981154.0613365,22000,21.14377784729004
1779981194.264971,22200,21.723121643066406
1779981232.1968787,22400,23.034687042236328
1779981276.2319195,22600,25.985319137573242
1779981314.0852473,22800,20.11235809326172
1779981354.136157,23000,25.98672103881836
1779981391.7987523,23200,24.578876495361328
1779981435.4067886,23400,17.169225692749023
1779981473.4446123,23600,25.291780471801758
1779981511.226009,23800,19.167171478271484
1779981551.403509,24000,25.1209659576416
1779981593.1629248,24200,19.180110931396484
1779981633.046895,24400,25.76375961303711
1779981670.9000762,24600,23.253950119018555
1779981710.940421,24800,23.50356674194336
1779981752.1326072,25000,25.407865524291992
1779981792.2236621,25200,21.393455505371094
1779981830.1314464,25400,21.352027893066406
1779981869.9119241,25600,25.821971893310547
1779981911.5920246,25800,23.735322952270508
1779981951.647869,26000,22.796266555786133
1779981989.7526567,26200,25.119638442993164
1779982029.8972406,26400,20.852008819580078
1779982070.9757836,26600,20.092424392700195
1779982111.3844507,26800,19.166301727294922
1779982149.362385,27000,28.142303466796875
1779982187.7082539,27200,20.22890853881836
1779982231.3767347,27400,24.286680221557617
1779982269.3227365,27600,21.779075622558594
1779982309.2443385,27800,21.941787719726562
1779982347.1217713,28000,21.113872528076172
1779982390.972796,28200,25.177217483520508
1779982429.1004102,28400,23.413421630859375
1779982469.111741,28600,22.903165817260742
1779982506.9557831,28800,23.14913558959961
1779982550.8777668,29000,22.466312408447266
1779982588.8164434,29200,24.63158416748047
1779982629.2740498,29400,23.5277156829834
1779982666.5525486,29600,18.027334213256836
1779982710.1249425,29800,22.00027084350586
1779982747.6505718,30000,22.6575927734375
1779982788.3243809,30200,22.188026428222656
1779982826.52502,30400,18.841794967651367
1779982868.1660857,30600,21.062122344970703
1779982908.1258955,30800,22.43524742126465
1779982946.4376256,31000,19.363039016723633
1779982986.7282925,31200,18.573333740234375
1779983028.1697724,31400,22.806142807006836
1779983068.565353,31600,21.13698959350586
1779983106.479316,31800,25.944318771362305
1779983146.7408586,32000,22.090391159057617
1779983188.2784283,32200,22.348705291748047
1779983228.535232,32400,18.107540130615234
